git_label_serial_number,class_name,code_len,calc_comments_number,entropy,time_from_intro,time_from_last_fix,has_unit_test,num_of_fixes
261,UnifyHWCheck_on_ncs_workers,45,0,4.78074198522,519,241,0,0
261,KeyringAdminConfigCheck,14,0,3.80735492206,30,30,0,0
261,is_cloud_name_in_user_config_correct,46,0,4.6895504783,540,44,0,0
261,VmImage,23,0,4.26269239084,472,472,0,0
261,ValidateCephRbdKeyringConfigOnNCS,71,0,5.40299289403,15,6,0,0
261,VmsFSIDCheck,115,0,5.86663418112,30,30,0,0
261,KeyringConfigCheck,34,0,4.275414592,30,30,0,0
261,KeyringRadosGWConfigCheck,6,0,2.58496250072,30,30,0,0
261,OvercloudBackupCheck,83,0,5.34729281799,547,442,0,0
261,OsdJournalError,131,0,6.03194628856,573,449,0,0
261,MonitorsHealth,70,0,5.4832932891,637,241,0,0
261,CheckSwiftDirectorySrv,71,0,4.97941495148,475,241,0,0
261,VirshSecretFsidCheck,90,0,5.24697420725,30,30,0,0
261,validate_cpu_isolation_scheme,35,0,4.51186471768,417,241,0,0
261,is_host_reachable,45,1,4.9662645529,519,241,0,0
261,RabbitMQQueueCheck,258,3,6.35011230115,497,232,0,0
261,MYSQLCheck,133,0,5.96830179618,493,252,0,0
261,VirshNetInfo,96,0,5.61114095592,485,241,0,0
261,CompareCorosyncNodeList,87,0,5.78129380839,146,64,0,0
261,CheckMgrCount,25,0,4.24385618977,501,501,0,0
261,RebootsDataCollector,87,0,5.41583721497,21,21,0,0
261,fqdn_resolve,92,3,5.78471229898,470,241,0,0
261,BridgesInfo,37,0,4.39864255482,482,241,0,0
261,EtcdDefragmentationCheckInWorkersEdges,232,14,7.09322591753,345,48,0,0
261,NetworkInterfaceMTU,163,2,6.24070652817,420,58,0,0
261,IsOsdDiskConfApplied,185,0,6.50630710217,573,232,0,0
261,CheckPoolSize,102,3,6.05003373947,510,447,0,0
261,Global,0,0,0.0,19271,19271,0,0
261,AreBtelPodsTerminatedWithOOMKILLED,87,0,5.65744123806,345,178,0,0
261,OverlayNetworkCheck,73,6,5.37996955232,343,314,0,0
261,RegexConfValidator,48,0,4.77205520887,30,30,0,0
261,CephCpuQuotaCheck,71,0,5.60708057003,488,439,0,0
261,CephMgrStandbyCheck,93,0,5.3723621628,513,217,0,0
261,KeyringBareMetalConfigCheck,6,0,2.58496250072,30,30,0,0
261,BIOSCheck,162,0,5.83877216994,562,177,0,2
261,has_host_isolated_scheme,37,0,4.62540902848,351,241,0,0
261,VmsPortsList,51,0,5.08419004785,483,472,0,0
261,BTELValidationStatusRequirement,388,7,6.95589149051,345,232,0,3
261,SwiftServiceValidator,456,14,7.24260442312,475,62,0,0
261,RabbitMQQueueNotHuge,151,0,6.39819979703,224,35,0,0
261,validate_three_controllers,62,0,5.14816133537,519,430,0,0
261,CephSlowRequests,83,0,5.80535012394,488,439,0,0
261,VmsDomInfo,19,0,4.03740119765,485,485,0,0
261,CheckMinOsdNodes,89,0,5.51985368025,487,395,0,0
261,KeyringMultiplePoolConfigCheck,120,0,5.81221416826,30,30,0,0
261,IsOsdAuthSameAsOsdTree,121,0,5.87810158941,510,48,0,0
261,check_haproxy_config_valid,161,1,6.17483522365,243,217,0,0
